phrase,times,notes
"Let's meet at 3pm",15:00,
"Meeting at 14:30",14:30,
"давай в 14:30",14:30,
"созвон в 9 утра",09:00,russian morning
"встреча в три",15:00,ambiguous - assume PM
"I have 3 cats",,negative
"$14.99",,negative - price
"version 2.0",,negative - version
"192.168.1.1",,negative - IP
"See you at 09:00",09:00,
"9:00 AM",09:00,
"9 AM",09:00,
"3 p.m.",15:00,
"Meet @ 21:15",21:15,
"Let's do 07:05",07:05,
"Let's do 07:05",07:05,
"from 9 to 5",09:00;17:00,range english
"с 10 до 14",10:00;14:00,range russian
"10-14",10:00;14:00,range dash
"13 GMT",13:00,bare + tz
"3pm PST",15:00,with timezone
"14:00 GMT",14:00,with timezone
"Meeting at 00:30",00:30,midnight
"Meet me at midnight",00:00,
"at noon",12:00,
"Let's talk at 12 pm",12:00,
"Let's talk at 12am",00:00,
"в 14",14:00,russian short hour
"в 9 утра",09:00,russian morning
"к трём",15:00,russian colloquial - assume PM
"звонок в 16:45",16:45,russian
"See you 6pm",18:00,
"Meet 6:00",06:00,
"I'll be free 6",06:00,ambiguous bare hour assume 06:00
"9 PST",09:00,bare + tz
"13:30-14:30",13:30;14:30,range with dash
"13:30-14:30",13:30;14:30,range with dash
"call at 5pm EST",17:00,with timezone
"14:00-15:00",14:00;15:00,range
"arrive by 07:00",07:00,
"party at 11pm",23:00,
"breakfast 8 AM",08:00,
"we start at 00:00",00:00,
"15:15",15:15,HH:MM
"09:05",09:05,HH:MM
"07:45",07:45,HH:MM
"Meeting at 3:30pm",15:30,
"Let's catch up at 4pm GMT",16:00,with timezone note - local convert not applied
"10:00 CET",10:00,with timezone
"Schedule for 18:20",18:20,
"from 08:00 to 12:00",08:00;12:00,range
"в 7 вечера",19:00,russian evening
"в 5 утра",05:00,russian early
"в полдень",12:00,russian noon
"позвоню в 00:15",00:15,russian after midnight
"arrive 14" ,14:00,short hour
"Meeting 14:00 GMT+2",14:00,with timezone offset
"14:30 CET",14:30,with timezone
"reminder at 6:45pm",18:45,
"let's meet 3:00",15:00,ambiguous assume PM
"3:00-4:00",15:00;16:00,range ambiguous assume PM
"I'll be there at 17",17:00,bare hour
"room 301",,negative - room number
"score 3-2",,negative - score
"won 5-0",,negative - sports score
"page 15",,negative - page
"order #567",,negative - order
"5 apples",,negative
"€20",,negative - price
"₽500",,negative - price
"v3.1",,negative - version
"v2.0-beta",,negative - version
"build 192.168.0.5",,negative - IP
"call me at extension 301",,negative - extension
"budget $3000",,negative - amount
"room 10-14",,negative - room range
"deadline Feb 14",,negative - date not time
"we'll meet on Monday at 10",10:00,date+time
"10 o'clock",10:00,alternative phrasing
"ten o'clock",10:00,text numbers
"I'll wake at seven",07:00,word-number
"Let's do 7pm PST",19:00,with timezone
"14:00hrs",14:00,with suffix
"meet at 9:15am",09:15,
"catch up 18.00",18:00,dot separator
"flight departs 06:30",06:30,HH:MM
"flight departs at 6:30 AM",06:30,
"remind me 3 hours before",,negative - relative duration
"3rd quarter results",,negative - ordinal context
"contact v4",,negative - version
"price is 20.00",,negative - price-like
"call 911",,negative - emergency number
"room 14A",,negative - room id
"Meet at 23:59",23:59,HH:MM edge
"Meet at 24:00",00:00,edge midnight written 24:00 -> normalize
"We meet at 12:30 pm PST",12:30,with timezone
"в 12:30 по МСК",12:30,with timezone russian
"с 9:30 до 12:45",09:30;12:45,range russian
"14-30 GMT",14:30,dash + tz
"See you at quarter past three",15:15,phrase variant
"See you at half past nine",09:30,phrase variant
"I need 3 copies",,negative - quantity
"€14,99",,negative - price euro locale
"call on v1",,negative - version
"event 2021-09-01",,negative - date
"meeting at 4pm-6pm",16:00;18:00,range with hyphen
"9.00 PST",09:00,dot + tz
"Let's meet 12 noon CET",12:00,with timezone
"we'll start at 00.00",00:00,dot midnight
"arrive by 7:30pm",19:30,
"appointment at 8",08:00,bare hour
"I got 5 points",,negative - score
"version 10",,negative - version
"invoice #14",,negative - invoice
"call at 4 pm EST",16:00,with timezone
"буду в 18:30",18:30,russian HH:MM
"в 3 ночи",03:00,russian night (assume AM)
"через 3 часа",,negative - relative duration
"встречаемся в 13:00",13:00,russian HH:MM
