phrase,times,notes
"Hey guys, unlike yesterday, I can actually join the daily at 10am today, so see you there.",10:00,embedded positive
"Привет, колеги. Я задержусь на обеде, давайте перенесем синк на 14:30 или даже на 15:00, если всем удобно?",14:30;15:00,multi-option embedded russian
"Unfortunately the build failing with error 500 meant we missed the window.",,negative - error code
"Look, I reviewed the logs from 2026-01-21 12:15:30 and found nothing suspicious.",,negative - timestamp log context
"Let's schedule a quick sync. Are you free at 3pm or is 4pm better for you?",15:00;16:00,embedded options
"The final score of the match was 3-2, it was incredible how they scored in the last minute.",,negative - score
"Please ensure all tickets are closed by 5pm today because the sprint ends.",17:00,deadline context
"Ребят, кто может посмотреть тикет #404? Там клиент жалуется на 500 ошибку.",,negative - number/error
"I'll be out of office until 2pm for a dentist appointment.",14:00,absence context
"Check out the ratio of 16:9 on this new monitor, it really fits the workflow.",,negative - aspect ratio
"My flight lands at 18:45 local time, so I should be home by 20:00.",18:45;20:00,travel context
"Can we push the meeting to 11am? I have a conflict at 10.",11:00;10:00,rescheduling context
"The new version v2.0.5 is ready for deployment.",,negative - version
"Please read John 3:16 for Sunday school preparation.",,negative - verse
"Давайте созвонимся когда я доеду, это будет где-то в районе 18:30 или 19:00.",18:30;19:00,approximate casual russian
"Whatever you decide, I'm just letting you know I'm logging off at 6pm sharp.",18:00,end of day statement
"The IP address 192.168.0.1 is not responding to ping.",,negative - IP
"We need to cut the video duration to exactly 00:30 for the ad slot.",,negative - duration needed
"Hi team, just a heads up that the maintenance starts at 02:00 UTC and ends at 04:00 UTC.",02:00;04:00,maintenance window
"The price dropped to $19.99 which is a steal.",,negative - price
"If we start at 9, we can finish by 11 and grab early lunch.",09:00;11:00,conditional start/end
"Смотри, в отчете на странице 15 сказано, что рост составил 10%.",,negative - page number
"Let's meet at the usual place around 7ish?",19:00,approximate colloquial
"I'll be driving until 8pm, can we talk after?",20:00,driving context
"The odds are 5:1 that we won't finish this on time.",,negative - odds
"Meeting confirmed: 2026-01-22 at 14:00 CET. Please don't be late.",14:00,formal conf
"Я купил 5 яблок и 2 груши.",,negative - quantity
"Can you double check the invoice 12:15-B? It seems wrong.",,negative - invoice id (edge)
"Set an alarm for 6:30am, I need to catch that train.",06:30,alarm instruction
"Don't forget the event starts at 20:00 doors open at 19:00.",20:00;19:00,event details
"I was looking at the logs and error happened at line 120 approximately.",,negative - line number
"Actually, nevermind, I can make it at 1pm.",13:00,correction
"Мы стартуем в 9 утра по Москве, это удобно коллегам из Новосибирска?",09:00,tz context russian
"Please refer to Section 4:2 in the handbook regarding holiday policy.",,negative - doc section
"My best marathon time is 3:45 but I want to improve it.",,negative - duration personal record
"Call me at 555-0123 whenever you are ready.",,negative - phone number
"Let's aim for a slot between 10am and 12pm to discuss the Q3 roadmap.",10:00;12:00,range strategic
"У меня самолет в 7:40, так что на дейли я не успею.",07:40,travel excuse russian
"The resolution 1920:1080 is standard for these screens.",,negative - resolution
"Just to clarify, the outage lasted from 13:15 to 13:45, totally 30 minutes.",13:15;13:45,incident report
"I'll trade you 2 for 1.",,negative - trade ratio
"Deadline is Feb 15th, no specific time given.",,negative - date without time
"Can we move the 3pm meeting to 4pm? Something came up.",15:00;16:00,move request
"Я буду недоступен с 12 до 14, у меня врач.",12:00;14:00,unavailable block russian
"Make sure to arrive by 8:45am to get through security.",08:45,arrival instruction
"The ratio of developers to designers is roughly 3:1 here.",,negative - ratio
"Is it okay if I call you at 9pm your time?",21:00,late call permission
"Please review the pull request #1234 before 5pm.",17:00,mix PR number and deadline
"Встречаемся у входа в кино, сеанс в 21:15.",21:15,movie context russian
"Status code 200 OK means everything is fine.",,negative - status code
"I have a hard stop at 11:30 so let's be concise.",11:30,hard stop context
"Our train departs at 16:20 from platform 9.",16:20,transport detail
"Version 4.0 will be released next Monday.",,negative - version
"Если сможешь, набери меня в 10 утра, или потом уже после 18.",10:00;18:00+,multi-option partial fuzzy
"The aspect ratio 21:9 is great for movies.",,negative - aspect
"Let's catch up at 12:30 for lunch.",12:30,lunch proposal
"Ticket price is $50.00.",,negative - price
"I'll be online around 9:30 or 10-ish.",09:30;10:00,fuzzy list
"See you in room 303.",,negative - room number
"Let's schedule the interview for 14:00 tomorrow.",14:00,interview scheduling
"System reboot scheduled for 03:00 am.",03:00,maintenance
"Please finish chapter 5 by Wednesday.",,negative - chapter
"I'm free all day except 2pm-3pm.",14:00;15:00,exception block
"Звони в любое время, но лучше до 23:00.",23:00-,preference before
"My user ID is 1001.",,negative - ID
"Let's sync up at 1100 hours military time.",11:00,military formal
"The final score was 120-115.",,negative - basketball score
"Can we do 12:15? I have a conflict at 12:00.",12:15;12:00,negotiation
"Send me the report by 17:00 EOD.",17:00,EOD deadline
