phrase,times,notes
03/04/2026 5pm,17:00,ambiguous date format (edge: MM/DD vs DD/MM)
3:45 AM workout,03:45,english early
3pm EST,15:00,with tz
3pm PST,15:00,with timezone
5pm-ish,17:00,approximate suffix
9 AM,09:00,
9:00 AM,09:00,
9am-11am,09:00;11:00,range simple
About 7pm,19:00,approximate
Brunch 11am,11:00,restaurant
Call 3pm,15:00,short action
Call me at 11am IST,11:00,with tz IST
Call me at 2:30 PM,14:30,english pm
Call mom at 7pm,19:00,informal
Deadline 5pm sharp,17:00,label + time
Due by 5pm,17:00,deadline
I can do 2pm or 4pm,14:00;16:00,multiple options english
I have an appointment at 9:30am (GMT+1) and 5:30pm (JST),09:30;17:30,multiple tz complex
I'll be on at 04:00 AM,04:00,AM explicitly
I'll do 6pm-8pm (EST),18:00;20:00,range + tz
I'll join 4pm CET and 6pm GMT,16:00;18:00,multiple tz english
I'll join at 6am,06:00,english AM specified
I'll join at 6pm,18:00,english PM specified
Is 10am good?,10:00,bare time question
Let's catch up at 4pm GMT,16:00,with timezone note - local convert not applied
Let's chat at 5:30pm EST,17:30,with timezone
Let's do 5pm on Friday,17:00,english
Let's do 7am,07:00,short time english
Let's do 7am (your time),07:00,parenthetical local
Let's do 7pm PST,19:00,with timezone
Let's meet at 3pm,15:00,
Let's meet at 5pm ישראלי זמן,17:00,mixed English+Hebrew tz note
Let's meet at 8am tomorrow,08:00,english am
Let's schedule 03:00 AM PST,03:00,AM with tz
Let's talk at 12 pm,12:00,
Let's talk at 12am,00:00,
Meet at 7pm,19:00,english bare pm
Meet at 8am sharp,08:00,sharp
Meeting at 3:30pm,15:30,
Meeting at 3pm (15:00),15:00,parenthetical time
My bus is at 6:45am,06:45,transport casual
See you 6pm,18:00,
Table for 2 at 7pm,19:00,restaurant
We meet at 12:30 pm PST,12:30,with timezone
What about 3pm?,15:00,bare time question
a las 3pm,15:00,spanish informal
"a las 3pm, ¿te va?",15:00,spanish
around 3pm,15:00,approximate english
arrive by 07:00am tomorrow,07:00,date+time english
arrive by 7:30pm,19:30,
breakfast 8 AM,08:00,
call 5pm GMT and 7pm CET,17:00;19:00,multiple tz (edge: same instante?)
call at 11 am IST,11:00,with tz (IST)
call at 11am GMT+1,11:00,with timezone offset
call at 4 pm EST,16:00,with timezone
call at 5pm EST,17:00,with timezone
call at 7AM (London),07:00,AM + city tz
conference 3pm CET,15:00,with tz textual
flight departs at 6:30 AM,06:30,
in the afternoon at 3pm,15:00,english afternoon
meet at 12:00am,00:00,explicit am
meet at 12:00pm,12:00,explicit pm
meet at 9:15am,09:15,
meeting 12am,00:00,explicit am
meeting 12pm,12:00,explicit pm
meeting at 10am - tentative,10:00,tentative (edge)
meeting at 4pm-6pm,16:00;18:00,range with hyphen
meeting at 8am/10am window,08:00;10:00,window (edge: range type)
party at 11pm,23:00,
reminder at 6:45pm,18:45,
see you at 3pm sharp,15:00,sharp
set alarm for 6am,06:00,alarm english
set meeting 09:15am-10:00am,09:15;10:00,range am
tomorrow 6pm,18:00,date+time english
звонок в 3pm по МСК,15:00,mixed RU+EN+tz
14h30 meeting,14:30,European h format
Book call at noon,12:00,meeting informal
I'll call around noonish,12:00,approximate english
I'll call at 2400,00:00,24:00 normalized to 00:00 (edge)
I'll call at 6 and 8,06:00;08:00,multiple options english
I'll call at fifteen hundred hours,15:00,military time textual
I'll call at five,05:00,ambiguous textual -> assume 05:00 unless PM noted (edge)
I'll call at nine thirty,09:30,textual english
Meeting at noon,12:00,english noon
call at quarter past six,18:15,phrase english
call me at five pm,17:00,explicit pm
