phrase,has_tz_context,trigger_type,source_tz,notes
в 16:30 мск,1,explicit_tz,Europe/Moscow,ru abbr lowercase
в 09:00 МСК,1,explicit_tz,Europe/Moscow,ru abbr uppercase
на 21 по мск,1,explicit_tz,Europe/Moscow,short form msk
созвон в 14 Мск,1,explicit_tz,Europe/Moscow,common chat style
в 8 по московскому,1,explicit_tz,Europe/Moscow,local phrasing
в 07:15 по Минску,1,explicit_tz,Europe/Minsk,minsk city
на 12 по Тбилиси,1,explicit_tz,Asia/Tbilisi,tbilisi city
в 18 по Казани,1,explicit_tz,Europe/Moscow,kazan -> moscow tz
завтра в 11 по местному,1,explicit_tz,Europe/Moscow,local word
встреча в 19 МСК,1,explicit_tz,Europe/Moscow,formal uppercase
let's meet at 2pm PST,1,explicit_tz,America/Los_Angeles,en abbr
meeting 3:30 PM PDT,1,explicit_tz,America/Los_Angeles,daylight abbr
check 10am CST today,1,explicit_tz,America/Chicago,en abbr
sync at 4pm BST,1,explicit_tz,Europe/London,BST abbr
call at 5pm AST tonight,1,explicit_tz,America/Halifax,Atlantic
touch base 9am Rome time,1,explicit_tz,Europe/Rome,en city
let's do 16:00 Madrid time,1,explicit_tz,Europe/Madrid,en city
call 20:00 Auckland time,1,explicit_tz,Pacific/Auckland,en city
meet 14 UTC+3,1,explicit_tz,Europe/Moscow,offset +3
demo at 09:00 UTC-3,1,explicit_tz,America/Sao_Paulo,offset -3
13-15 мск,1,explicit_tz,Europe/Moscow,range msk
5-7pm EST,1,explicit_tz,America/New_York,range en
в 09 Якутск,1,explicit_tz,Asia/Yakutsk,city only
сегодня в 18 Мск,1,explicit_tz,Europe/Moscow,today
tomorrow 11am London,1,explicit_tz,Europe/London,en tomorrow
завтра в 09:00 по Киеву,1,explicit_tz,Europe/Kyiv,kyiv city
в 6 по Токио,1,explicit_tz,Asia/Tokyo,tokyo city
в 22 по Владивостоку,1,explicit_tz,Asia/Vladivostok,vladivostok
перезвоню в 15 МСК,1,explicit_tz,Europe/Moscow,call phrasing
в 00:30 по Москве,1,explicit_tz,Europe/Moscow,midnight
let's catch up at 7am EST,1,explicit_tz,America/New_York,morning
meeting 16:00 CET,1,explicit_tz,Europe/Paris,CET abbr map to Paris
резерв в 12 по Минску,1,explicit_tz,Europe/Minsk,booking
в 3 pm GMT,1,explicit_tz,Europe/London,GMT explicit
в 04:00 UTC+2,1,explicit_tz,Europe/Kyiv,offset +2
call 18:45 MSK,1,explicit_tz,Europe/Moscow,msk uppercase
на 8 утра по местному,1,explicit_tz,Europe/Moscow,local morning
в 14 по Самаре,1,explicit_tz,Europe/Samara,samara city
соберёмся в 10 по Уфе,1,explicit_tz,Asia/Yekaterinburg,ufa->yekaterinburg
на 19 по Омску,1,explicit_tz,Asia/Omsk,omsk city
в 7:30 по Тбилиси,1,explicit_tz,Asia/Tbilisi,tbilisi morning
let's meet 11:15 AM CET,1,explicit_tz,Europe/Paris,CET am
сегодня в 20 по местному,1,explicit_tz,Europe/Moscow,local today
в 13 по местному времени,1,explicit_tz,Europe/Moscow,explicit local
в 2pm AEDT,1,explicit_tz,Australia/Sydney,AEDT abbr
в 03:00 по Тбилиси,1,explicit_tz,Asia/Tbilisi,night time
conference call 6pm KST,1,explicit_tz,Asia/Seoul,Korea Standard
презентация в 18:00 мск,1,explicit_tz,Europe/Moscow,presentation
обсудим в 10 по Минску,1,explicit_tz,Europe/Minsk,minsk discuss
в 12 по Баку,1,explicit_tz,Asia/Baku,baku city
в 15 по Астане,1,explicit_tz,Asia/Almaty,astana->almaty tz
meeting 9:00 CET,1,explicit_tz,Europe/Paris,CET numeric
